Armable Beer Trap (Cat),32040
Armable Beer Trap (Empty),32039
Armable Beer Trap (Orc),32041
Armageddon Plans,12540
Armillary Sphere,8852
Armillary Sphere (TibiaMaps),37114
Armor (Object),5863
Armor Rack,6112
Armor Rack (Immobile),5861
Armor Rack Kit,6114
Arrival at Thais Painting,27698
Arrow,3447
Artefact Box,36810
Artist Chair,34039
Artist Chest,34043
Artist Shelf,34032
Artist Shelf (Empty),34033
Artist Table,34035
Artist's Brush,14683
Artist's Brush (with Paint),14686
Artist's Canvas,14685
Artist's Easel,14688
Artist's Easel (with Canvas),14690
Artist's Palette,14684
Ashes,2140
Assassin Dagger,7404
Assassin Doll,21963
Assassin Doll (Replica),28897
Assassin Star,7368
Astral Glyph,24976
Astral Shaper Rune,24960
Astral Source,24975
Asuri Talisman,38844
Atlas,6108
Aubergine,11460
Autumn Sparkle Blossom,24041
Avalanche Rune,3161
Axe,3274
Axe Ring,3092
Axe of Carving,23311
Axe of Carving (Charged),23312
Axe of Carving (Heavily Charged),23313
Axe of Carving (Overcharged),23314
Axe of Destruction,27451
Axe of Mayhem,23225
Axe of Mayhem (Charged),23235
Axe of Mayhem (Heavily Charged),23245
Axe of Mayhem (Overcharged),23255
Axe of Remedy,23271
Axe of Remedy (Charged),23272
Axe of Remedy (Heavily Charged),23273
Axe of Remedy (Overcharged),23274
Aylie,44062
Azure Carpet,23716
Babel Swimmer,12736
Baby Bonelord,34029
Baby Brain Squid,32912
Baby Dragon,23443
Baby Elephant,35154
Baby Hedgehog,31682
Baby Munster,34268
Baby Munster (Activated),34269
Baby Polar Bear,32793
Baby Rotworm,10026
Baby Rotworm (Store),28693
Baby Seal,32789
Baby Seal (Object),7178
Baby Seal (Painted),7252
Baby Seal (Time Travel),37747
Baby Seal (Time Travel, Painted),37748
Baby Seal Doll,7184
Baby Unicorn,31704
Baby Vulcongra,32911
Backpack,2854
Backpack of Holding,3253
Badbara,30365
Badge of Glory,9218
Badger Boots,22086
Badger Fur,10299
Badger Fur (Decoration),903
Badly Made Piece of Cloth,21868
Bag,2853
Bag (Ahmet),235
Bag You Covet,43898
Bag You Desire,34109
Bag of Apple Slices,12548
Bag of Oriental Spices,10818
Bag of Oriental Spices (Replica),23682
Bag of Screws,9151
Bag of Smuggled Goods,35479
Bag with Naga Eggs,39577
Bag with Stolen Gold,13429
Bait,939
Baking Tray,3464
Baking Tray (Cookie),8020
Baking Tray (Garlic),8198
Baking Tray (Reed),31913
Bakragore's Amalgamation,43968
Bale of White Cloth,142
Bale of Yellowed Cloth,143
Ball Gown,3570
Ball on Chains,5472
Ballistic Boulder,35336
Balloon Box,37461
Balloon Cloth,21871
Balloon No.0,39671
Balloon No.0 (Inflated),39683
Balloon No.1,39672
Balloon No.1 (Inflated),39684
Balloon No.2,39673
Balloon No.2 (Inflated),39685
Balloon No.3,39674
Balloon No.3 (Inflated),39686
Balloon No.4,39675
Balloon No.4 (Inflated),39687
Balloon No.5,39676
Balloon No.5 (Inflated),39688
Balloon No.6,39677
Balloon No.6 (Inflated),39689
Balloon No.7,39678
Balloon No.7 (Inflated),39690
Balloon No.8,39679
Balloon No.8 (Inflated),39691
Balloon No.9,39680
Balloon No.9 (Inflated),39692
Balloons,37423
Bamboo Column,2248
Bamboo Drawer,2468
Bamboo Drawer Kit,2795
Bamboo Fence,1527
Bamboo Lamp,2116
Bamboo Lamp (Lit),2117
Bamboo Leaves,12549
Bamboo Mat,23455
Bamboo Palisade,1525
Bamboo Pole,2252
Bamboo Shelf,2460
Bamboo Stick,11445
Bamboo Table,2351
Bamboo Table Kit,2788
Bamboo Wall,1522
Bamboo Wall Lamp (Lit),32903
Bamboo Wall Lamp (Unlit),32902
Bamboo Wall Window,1541
Banana,3587
Banana (Orcsoberfest),31994
Banana Chocolate Shake,9083
Banana Sash,11511
Banana Skin,3104
Banana Staff,3348
Bandana,5917
Banner (Bicolour),9480
Banner (Black),9474
Banner (Cross),9473
Banner (Falcon),27841
Banner (Flame),9471
Banner (Golden),8583
Banner (Jagged),10962
Banner (Long),8584
Banner (Oblong),8585
Banner (Orange),9479
Banner (Purple),9477
Banner (Serpent),9472
Banner (Skull),9475
Banner (Snake),9478
Banner (Strips),8586
Banner (Swords),10964
Banor Doll,36481
Bar of Chocolate,6574
Bar of Gold,14112
Barbarian Axe,3317
Bard Doll,33777
Bark Peeler,31328
Barrel,2523
Barrel (Brown),2519
Barrel (Store),34301
Barrel Filled with Hammers,30304
Barrel Kit,2793
Barrel and Anchor Lamp,31940
Barrel of Beer,404
Basalt,15301
Basalt Core,43859
Basalt Crumbs,43858
Basalt Fetish,17856
Basalt Figurine,17857
Basalt Obelisk (Faint),43793
Basalt Obelisk (Intense),43792
Basalt Wall with Crystals,14889
Bashmu Fang,36820
Bashmu Feather,36823
Bashmu Tongue,36821
Basic Promotion Scroll,43947
Basin Filled with Blood,31432
Basin with a Flower,38528
Basin with a Glowing Flower,38526
Basket,2855
Basket (Puppies),14153
Basket with Puppies,14152
Bass,32043
Bast Legs,35517
Bast Skirt,3560
Bat (Item),31487
Bat (Object),8594
Bat (Store),33042
Bat Decoration,6491
Bat Wing,5894
Bath Tub,26100
Battle Axe,3266
Battle Hammer,3305
Battle Shield,3413
Battle Stone,11447
Batwing Hat,9103
Beach Backpack,5949
Beach Bag,5950
Beam,11829
Bear Doll,3001
Bear Paw,5896
Bear Skin,31578
Beast's Nightmare-Cushion,29946
Beastslayer Axe,3344
Beautiful Ice Flowers,39580
Beautiful Marble Statue,10429
Beaver of Wisdom,38705
Bed,2498
Bed (Green),737
Bed (Red),741
Bed (Yellow),745
Bed of Nails,25743
Beer Barrel,32151
Beer Bottle,136
Beer Cask,2525
Beer Mug,32072
Beer Tap,32114
Beetle Carapace,24381
Beetle Necklace,10457
Beetroot,8017
Behemoth Claw,5930
Behemoth Taming Stone,22871
Behemoth Trophy,7396
Behemoth Trophy (Immobile),2676
Bejeweled Ship's Telescope,9619
Bell,15832
Bella Bonecrusher's Doll,37057
Bellflower,28697
Bellow,7842
Belongings of a Deceased,12413
Belongings of a Deceased (Death Priest Shargon),21334
Belongings of a Deceased (The Ravager),21333
Belted Cape,8044
Berserk Potion,7439
Berserker,7403
Bestiary Betterment,36728
Big Bone,3116
Big Naga Statue,38613
Big Naga Statue (Damselfly),38266
Big Reward Box,39710
Big Table,2314
Big Table Kit,2785
Big Venorean Table,17382
Big Wine Cask,2534
Bill,3216
Bird Nest,22885
Bird's Nest,12677
Birdcage,2976
Birdcage (Dead),2975
Birdcage Kit,2796
Birthday Backpack,24395
Birthday Cake,24396
Birthday Card,30200
Birthday Cup,30201
Birthday Layer Cake,37533
Bitter Calyx,10712
Bitter-Smack Leaf,25217
Black Bishop Token,3544
Black Candle,9099
Black Castle Token,3542
Black Crystal,10870
Black Crystal Shards,21934
Black Hood,9645
Black Jade Cobra,11695
Black King Token,3546
Black Knight Doll,21436
Black Knight Token,3543
Black Marble Floor,410
Black Pawn Token,3541
Black Pearl,3027
Black Pit Demon,23492
Black Queen Token,3545
Black Raven,31351
Black Raven Kit,30371
Black Shield,3429
Black Skull (Item),9056
Black Skull (Quest),37335
Black Token,3533
Black Wool,11448
Blackened Hand Mirror,36876
Blacksteel Sword,7406
Blade of Carving,23303
Blade of Carving (Charged),23304
Blade of Carving (Heavily Charged),23305
Blade of Carving (Overcharged),23306
Blade of Corruption,11693
Blade of Destruction,27449
Blade of Mayhem,23223
Blade of Mayhem (Charged),23233
Blade of Mayhem (Heavily Charged),23243
Blade of Mayhem (Overcharged),23253
Blade of Remedy,23263
Blade of Remedy (Charged),23264
Blade of Remedy (Heavily Charged),23265
Blade of Remedy (Overcharged),23266
Blades,2146
Bladespark Figurine,35592
Blank Paper,2813
Blank Parchment,2817
Blank Poetry Parchment,172
Blank Rune,3147
Blank Zaoan Panel,37777
Blazing Bone,16131
Blazing Bonfire,30254
Blemished Spawn Abdomen,36779
Blemished Spawn Head,36778
Blemished Spawn Tail,36780
Blessed Acorn,26074
Blessed Ankh,3214
Blessed Sceptre,7429
Blessed Shield,3423
Blessed Steak,9086
Blessed Water,39145
Blessed Wooden Stake,5942
Blister Ring,31621
Blister Tendril,10743
Bloated Maggot,43856
Blob Bomb,13976
Blood Basin,8525
Blood Crystal,8453
Blood Crystal (Charged),8225
Blood Goblet,8531
Blood Herb,3734
Blood Orb,3251
Blood Pagoda,19134
Blood Preservation,11449
Blood Skull,8532
Blood Tincture in a Vial,18928
Blood Vial,19100
Blood Vial (Necromancer),19101
Blood Vial (Vampire),19102
Blood Well,18915
Blood of the Mountain (Item),25361
Blooded Worm,43857
Bloodkiss Flower,9241
Bloodstained Crystal,21572
Bloody Dwarven Beard,17827
Bloody Edge,7416
Bloody Pincers,9633
Bloody Tears,32594
Blooming Birch,23815
Blooming Cactus,25216
Blooming Cocoon Tree,9814
Blooming Griffinclaw,5658
Blooming Purple Nightshade,22064
Blooming Tendrils,39804
Blossom Bag,25780
Blue 25 Years Balloon,39670
Blue 25 Years Balloon (Inflated),39682
Blue Backpack,2869
Blue Bag,2861
Blue Balloon,37471
Blue Balloon (Inflated),37414
Blue Bed Kit,834
Blue Cake Carpet,37371
Blue Christmas Bundle,6507
Blue Christmas Garland,6504
Blue Crystal,15467
Blue Crystal (Item),29287
Blue Crystal Rods,14956
Blue Crystal Shard,16119
Blue Crystal Splinter,16124
Blue Crystals,14957
Blue Ectoplasm,30203
Blue Ectoplasmic Residue,30085
Blue Fireworks,37259
Blue Fireworks (Fountain),37258
Blue Fireworks Powder,30191
Blue Fireworks Rocket,30212
Blue Flame,21463
Blue Footboard,32558
Blue Gem,3041
Blue Gingerbread Heart,32067
Blue Glass Plate,29345
Blue Goanna Scale,31559
Blue Headboard,32549
Blue Legs,645
Blue Marble,33303
Blue Memory Shard,31354
Blue Note,3236
Blue Piece of Cloth,5912
Blue Pillow,2394
Blue Pit Demon,23491
Blue Pollen,21089
Blue Powder,6551
Blue Present Kit,37567
Blue Quiver,35848
Blue Robe,3567
Blue Rose,3659
Blue Round Cushion,31222
Blue Shark Trophy,35582
Blue Spectacles,27522
Blue Sphere,23541
Blue Spores,15707
Blue Square Cushion,31219
Blue Tapestry,2659
Blue Tibia Carpet,37387
Blue Tome,2850
Blue Traditional Chair,32130
Blue Traditional Rack,32143
Blue Traditional Table,32139
Blue Wall Hangings,32164
Blue Wallpaper,37540
Blue Wooden Candelabra,32162
Blue and Golden Cordon,31572
Blue and Red Presents Kit,37566
Blueberry,3588
Blueberry Cupcake,28484
Bluish Dewberry Palm,43945
Blurred Transcript,24873
Boar Man Hoof,40584
Boggy Dreads,9667
Bola,17809
Bolfrim's Golden Bug Trophy,14672
Bollard,4972
Bolt,3446
Bone,3115
Bone (Immobile),7556
Bone (Orcsoberfest),31970
Bone Bed,32804
Bone Club,3337
Bone Fetish,17831
Bone Fiddle,28493
Bone Fiddle without Strings,28492
Bone Flute,22254
Bone Key,2973
Bone Meal,32602
Bone Shield,3441
Bone Shoulderplate,10404
Bone Spiked Club,22324
Bone Sword,3338
Bone Toothpick,24380
Bonebeast Trophy,10244
Bonebreaker,7428
Bonecarving Knife,17830
Bonelord Balloon,37502
Bonelord Balloon (Inflated),37424
Bonelord Eye,5898
Bonelord Helmet,3408
Bonelord Shield,3418
Bonelord Tome,37053
Bones (Item),22159
Bones of Zorvorax,24942
Bonfire Amulet,9301
Bongo Drum,2951
Bony Rod,27847
Bony Rod (Ruby),28708
Bony Tail,10277
Book (Atlas),2845
Book (Black Thin),27930
Book (Black),2838
Book (Blue),2844
Book (Brown Square),2841
Book (Brown Thin),2840
Book (Brown),2837
Book (CGB),401
Book (Draconia),6533
Book (Fat Green),2847
Book (Gemmed),2842
Book (Green),2846
Book (Grey),2839
Book (Orange),2843
Book (Red),2827
Book Backpack,28571
Book Page,28569
Book of Lies,22755
Book of Necromantic Rituals,10320
Book of Orc Language,12675
Book of Prayers,9646
Book with Old Legends,25235
Book with Old Legends (Doctored),25239
Book with Transcripts,40517
Bookcase,6370
Bookcase (Ab'Dendriel),18485
Bookcase (Immobile),2440
Bookcase (Rathleton),21874
Bookcase (Venore),17873
Bookcase Kit,6372
Bookworm Doll,18344
Bookworm Doll (Replica),28895
Boots of Haste,3079
Boots of Homecoming,22773
Boots of Homecoming (Used),22774
Boots of Waterwalking,3246
Botanist's Container (Bells),4868
Botanist's Container (Cauldron),4870
Botanist's Container (Empty),4867
Botanist's Container (Orchid),22704
Botanist's Container (Rose),4869
Botany Almanach,11699
Bottle,2875
Bottle of Airtight Gloo,21876
Bottle of Bug Milk,8758
Bottle of Champagne,37530
Bottle of Gloo,21803
Bottle of Glooth Wine,21145
Bottle of Sun Fruit Juice,30003
Bottle of Sun Fruit Juice (Sapphire),30006
Bottle of Tibian Wine,24948
Bottle of Vinegar,31976
Bottle of Whisper Beer,6106
Bottle with Rat Urine,17671
Bottled Yolk,40598
Bow,3350
Bow of Carving,23327
Bow of Carving (Charged),23328
Bow of Carving (Heavily Charged),23329
Bow of Carving (Overcharged),23330
Bow of Cataclysm,31581
Bow of Destruction,27455
Bow of Destruction Test,28465
Bow of Mayhem,23229
Bow of Mayhem (Charged),23239
Bow of Mayhem (Heavily Charged),23250
Bow of Mayhem (Overcharged),23259
Bow of Remedy,23287
Bow of Remedy (Charged),23288
Bow of Remedy (Heavily Charged),23289
Bow of Remedy (Overcharged),23290
Bowl,2902
Bowl (Gold),3476
Bowl (Green),3475
Bowl (Silver),3474
Bowl of Evergreen Flowers,8763
Bowl of Glooth Soup,21144
Bowl of Tea Leaves,20190
Bowl of Terror Sweat,20204
Bowl with Sacred Water,11333
Box,2469
Box (Brown),2473
Box (Immobile),9168
Box (Pies),119
Box Full of Balloons,39706
Box Full of Decoration,37614
Box Full of Presents,37465
Box with Balm,31726
Box with Waterproof Balm,31634
Bracelet of Strengthening,34076
Brachiodemon Trophy,36748
Brain Head's Brain,32581
Brain Head's Giant Neuron,32578
Brain Head's Left Hemisphere,32579
Brain Head's Right Hemisphere,32580
Brain in a Jar,29426
Brainstealer's Brain,36795
Brainstealer's Brainwave,36796
Brainstealer's Tissue,36794
Branch,7752
Branch (Immobile),7772
Branch (Quest),30226
Brandon's Wedding Ring,21745
Brass Armor,3359
Brass Button,37604
Brass Helmet,3354
Brass Legs,3372
Brass Shield,3411
Brass Throne,8529
Brass-Shod Chest,23740
Bread,3600
Bread Crust,32030
Bricklayers' Kit,7785
Bridal Black Skull,37342
Bridal Wreath,37336
Bridge (Rope Tile),2262
Bright Bell,30324
Bright Sun Beacon,43534
Bright Sword,3295
Brimstone Fangs,11702
Brimstone Shell,11703
Broadsword,3301
Brocade Backpack,8860
Brocade Bag,8861
Brocade Tapestry,23725
Broccoli,11461
Broken Amulet,3080
Broken Apparatus (Coils),8972
Broken Apparatus (Electrodes),8977
Broken Bell,30185
Broken Bottle,2892
Broken Brown Glass,3117
Broken Compass,25746
Broken Crossbow,11451
Broken Draken Mail,11660
Broken Dream,20029
Broken Eggs,40018
Broken Flask,2894
Broken Gladiator Shield,9656
Broken Green Glass,3118
Broken Halberd,10418
Broken Helmet,11453
Broken Idol,15896
Broken Idol (Deathling),28739
Broken Iks Cuirass,40533
Broken Iks Faulds,40531
Broken Iks Headpiece,40532
Broken Iks Sandals,40534
Broken Iks Spear,40535
Broken Key Ring,11652
Broken Limestone Wall,9270
Broken Lizard Statue,2067
Broken Longbow,34161
Broken Macuahuitl,40530
Broken Nacre Altar,21787
Broken Obelisk,2200
Broken Opticorder Forge,21296
Broken Opticording Sphere,23573
Broken Orb of Light Undying,21752
Broken Piggy Bank,2996
Broken Pottery,3113
Broken Ring of Ending,12737
Broken Shamanic Staff,11452
Broken Slicer,11661
Broken Stone Wall,8378
Broken Sword,3119
Broken Throwing Axe,17851
Broken Visor,20184
Broken Wedding Ring,9593
Broken Wood,5445
Broken Wooden Cone,24233
Broken Wooden Ladder,17230
Broken Wooden Shield,21401
Bronze Amulet,3056
Bronze Cup,32919
Bronze Cup (Ascension),38637
Bronze Cup (Honour),36991
Bronze Cup (Radiance),37161
Bronze Cup (Valour),34328
Bronze Cup of Honour,9208
Bronze Deed,32915
Bronze Gear Wheel,21755
Bronze Goblet,5807
Bronze Hand,38651
Bronze Hunter Trophy,32754
Bronze Medal,9217
Bronze Necklace,3009
Bronze Prison Key,20272
Bronze Trophy of Excellence,9214
Bronze Warrior Trophy,9211
Brooch of Embracement,34023
Broom,3454
Brown Bread,3602
Brown Crystal Splinter,16123
Brown Flask,2885
Brown Mushroom,3725
Brown Piece of Cloth,5913
Brown Pit Demon,23489
Brown Sea Floor,13822
Brown Shark Trophy,35585
Brush,36544
Brutetamer's Staff,7379
Brutus Bloodbeard's Hat,6099
Bubbles,5418
Bucket,2873
Bucket (Mead),7142
Bucket Filled with Chalk,20054
Bucket Filled with Chalk (Fine),28468
Bucket Filled with Gravel,20053
Bucket Full of Ectoplasm,29309
Bucket Full of Mortar,20170
Bucket Full of Sparkles,39244
Bucket Full of Water,39243
Bucket of Bog Water,12722
Bucket with Ectoplasm,29308
Bucket with Some Ectoplasm,29307
Buckle,17829
Bug Meat,24382
Bug Trail,876
Buggy Backpack,14249
Building Plans for a Ship,399
Bulb of Garlic,8197
Bulb of Garlic (Orcsoberfest),31974
Bullseye Potion,7443
Bunch of Reed,30975
Bunch of Ripe Rice,10328
Bunch of Sugar Cane,5466
Bunch of Troll Hair,9689
Bunch of Wheat,3605
Bunch of Winterberries,12252
Bundle of Cursed Straw,9688
Bundle of Letters,21141
Bundle of Rags,9191
Bunnyslippers,3553
Bunting,24491
Buoy,220
Buoy Line,222
Burial Case,30991
Burial Shroud,32585
Burn Out Bonfire,30252
Burning Heart,3240
Burning Skull,5020
Burning Splint,39137
Burning Sugar Cane,5464
Burning Wall,5063
Burnt Down Firewood,3131
Burnt Down Rainbow Torch,39703
Burnt Down Torch,2926
Burnt Out Devourer Core,23687
Burnt Scroll,3124
Burst Arrow,3449
Butcher's Axe,7412
Butterfly Conservation Kit (Blue),4866
Butterfly Conservation Kit (Damselfly),39340
Butterfly Conservation Kit (Empty),4863
Butterfly Conservation Kit (Purple),4865
Butterfly Conservation Kit (Red),4864
Butterfly Conservation Kit (Yellow),5089
Butterfly Ring,25698
Buttress Lamp,10491
CM Token,8737
CM Token (15th Anniversary),14670
Cabinet,11813
Cabinet (Venorean),18016
Cage with a Victim,27951
Cake,6277
Cake (Decorated),6278
Cake (Item),12155
Cake (Pillar),12111
Cake (Tile),12112
Cake (Wall),12089
Cake Backpack,20347
Cake Base,12110
Cake Cabinet,14755
Cake Cabinet Kit,14756
Cake Tapestry,20350
Cake with a Cherry,12149
Calamary (Item),31486
Calibrated Indicator Gauge,21757
Calopteryx Cape,14086
Camouflage Backpack,2872
Camouflage Bag,2864
Campfire,2000
Campfire (Pot),2003
Can,24485
Can of Grease,28855
Can of Oil,17513
Canary Feather,39571
Candelabra,17414
Candelabrum,2911
Candied Fruit,24493
Candle (Double Lit),20502
Candle (Double),20501
Candle (Vengoth),8596
Candle (Venorean),17417
Candle Made of Human Tallow,18931
Candle Stump,27605
Candlestick,2918
Candy,6569
Candy Cane,3599
Candy Canes,24494
Candy Floss,32069
Candy Floss (Large),37531
Candy Lure,39536
Canopic Jar (Object),4995
Canopy Bed,17928
Canopy Bed Kit,17972
Canopy Footboard,32569
Canopy Headboard,32557
Cape,3565
Capricious Heart,34138
Capricious Robe,34145
Captain Crab,42308
Captured Wolf,12369
Carafe of Water Binding,22692
Caramel Candy Mushroom,9861
Carapace Shield,14088
Carlin Banner (Wall),9476
Carlin Shield,9513
Carlin Sword,3283
Carniphila Dummy,12053
Carniphila Seeds,10300
Carnisylvan Bark,36806
Carnisylvan Finger,36805
Carnivorous Plant,28689
Carnivortex,10716
Carnivostrich Feather,40586
Carpet Box,37467
Carrion Casserole,29414
Carrion Worm Fang,10275
Carrot,3595
Carrot (Greens),15638
Carrot (Single),15636
Carrot Cake,9087
Carrot Pedestal,15640
Carrot Pie,29409
Carrot on a Stick,12311
Carrots,15635
Carrying Device,9698
Carved Stone Table,2347
Carved Table (Centre),32974
Carved Table (Corner),32969
Carved Table (Edge),32973
Carving,9590
Carving of a Battle,12455
Case of Rust Bugs,350
Cask (Five Salted Rats),33942
Cask (Four Salted Rats),33941
Cask (Goblin Zombie),33948
Cask (Goblin Zombie, Active),34078
Cask (One Salted Rat),33931
Cask (Three Salted Rats),33940
Cask (Two Salted Rats),33939
Cask of Brown Ale,137
Cask of Brown Ale (Item),8774
Castle Shield,3435
Cat in a Basket,23452
Cat's Paw,5479
Cateroide's Doll,22151
Cateroide's Doll (Activated),22152
Cauldron,42103
Cauldron (Witchcraft),43673
Cauliflower,11462
Cave Bed,44109
Cave Bench,44076
Cave Bones,44121
Cave Cabinet,44084
Cave Chair,44077
Cave Chest,44081
Cave Chimera Head,36787
Cave Chimera Leg,36788
Cave Devourer Eyes,27599
Cave Devourer Legs,27601
Cave Devourer Maw,27600
Cave Fence,44131
Cave Fence Border,44143
Cave Fireplace,44146
Cave Fireplace (Lit),44147
Cave Firewood,44117
Cave Floor Earth,44092
Cave Floor Lamp,44087
Cave Floor Lamp (Lit),44088
Cave Mural,44123
Cave Panel,44127
Cave Panel Border,44141
Cave Rampart,44135
Cave Rampart Border,44145
Cave Rat (Item),33946
Cave Remains,44119
Cave Table,44082
Cave Turnip,24383
Cave Wall Border,44139
Cave Wall Lamp,44089
Cave Wall Lamp (Lit),44090
Cave Wall Panel (1),44112
Cave Wall Panel (2),44113
Cave Wall Panel (3),44111
Cave Wall Panel (4),44110
Cave Weapon Display,44114
Cavebear Skull,12316
Ceiron's Waterskin,5938
Ceiron's Waterskin (Filled),5939
Celestial Chart,39136
Centipede Leg,10301
Cerberus Champion Puppy,31465
Ceremonial Ankh,6561
Ceremonial Mask,3395
Certificate,6498
Cerulean Abyss,39039
Chain Armor,3358
Chain Bolter,8022
Chain Helmet,3352
Chain Legs,3558
Chameleon (Item),25215
Chameleon Rune,3178
Champion's Cup,9206
Changing Backpack,37536
Chaos Critical Dice,35910
Chaos Mace,7427
Chaos Matter,9157
Chargeable Compass,29291
Charged Alicorn Ring,39181
Charged Arboreal Ring,39187
Charged Arcanomancer Sigil,39184
Charged Compass (Blue),29292
Charged Compass (Green),29293
Charged Compass (Violet),29294
Charged Essence Devourer (Chagorz),43988
Charged Essence Devourer (Ichgahal),43984
Charged Essence Devourer (Murcion),43498
Charged Essence Devourer (Vemiath),43986
Charged Flame,39230
Charged Ghost Charm,8827
Charged Spiritthorn Ring,39178
Chargoz Igneous Obsidian,43966
Charm Upgrade,36726
Charmer's Tiara,3407
Chasm Spawn Abdomen,27603
Chasm Spawn Head,27602
Chasm Spawn Tail,27604
Chayenne's Magical Key,14682
Cheese,3607
Cheese (Orcsoberfest),31988
Cheese Cookie,11685
Cheese Cutter,17817
Cheesy Figurine,17818
Cheesy Key,35508
Cheesy Membership Card,35614
Cherry,3590
Cherry (Field),12113
Chess Board,1210
Chest,2482
Chest Full of Witchcraft,43680
Chest of Abundance,28946
Chest of Drawers,2434
Chicken Feather,5890
Chilli Con Carniphila,29412
Chimney,7863
Chimney (Clay Hut),22338
Chimney (Lit),7862
Chimney (Oramond),20894
Chimney Kit,7864
Chisel,36543
Chitinous Mouth (Baron from Below),27622
Chitinous Mouth (Count of the Core),27626
Chocolate Cake,8019
Chocolatey Dragon Scale Legs,24402
Chopped Lion Mane Petals,34077
Chopper of Carving,23315
Chopper of Carving (Charged),23316
Chopper of Carving (Heavily Charged),23317
Chopper of Carving (Overcharged),23318
Chopper of Destruction,27452
Chopper of Mayhem,23226
Chopper of Mayhem (Charged),23236
Chopper of Mayhem (Heavily Charged),23246
Chopper of Mayhem (Overcharged),23256
Chopper of Remedy,23275
Chopper of Remedy (Charged),23276
Chopper of Remedy (Heavily Charged),23277
Chopper of Remedy (Overcharged),23278
Christmas Branch,6489
Christmas Card,6387
Christmas Cookie Tray,20310
Christmas Garland,6502
Christmas Present (Blue),6510
Christmas Present (Green),6509
Christmas Present (Red),6505
Christmas Present Bag,6496
Christmas Token,6526
Christmas Tree,2986
Christmas Tree Package,2812
Christmas Wreath,6501
Churned Ground,15701
Cigar,141
Citizen Doll,27846
Citizen Doll (Replica),43511
Claw of 'The Noxious Spawn',9398
Clay Hut,22334
Clay Hut Entrance,22336
Clay Lump,10422
Clay Pot,22642
Clay Statue,10424
Cleansed Sanity,33950
Cleansed Soul Splinter,31160
Cleaver,3471
Clerical Mace,3311
Cliff Strider Claw,16134
Closed Door (Timber),11714
Closed Pocket Sundial,43888
Closed Silvered Trap,22074
Closed Trap,3481
Closed Trapdoor (Dawnport),21374
Cloth Fragment (Almanac),36941
